AÑO;MES;PROVINCIA;VIVIENDAS_TURISTICAS;PLAZAS;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2021;8;Córdoba;1486;7818;5,26;0,38;
2021;8;Gipuzkoa;2098;9122;4,35;0,64;
2021;8;Girona;21438;125833;5,87;4,38;
2021;8;Granada;5281;27563;5,22;0,99;
2021;8;Guadalajara;466;2820;6,05;0,27;
2021;8;Huelva;1978;10876;5,5;0,69;
2021;8;Huesca;2047;11405;5,57;1,31;
2021;8;Illes Balears;29211;181713;6,22;4,98;
2021;8;Jaén;602;2840;4,72;0,18;
2021;8;La Rioja;1110;6208;5,59;0,56;
2021;8;Las Palmas;21097;91685;4,35;3,97;
2021;8;León;1026;5420;5,28;0,32;
2021;8;Lleida;2592;16292;6,29;1,06;
2021;8;Lugo;1789;9574;5,35;0,8;
2021;8;Madrid;17400;61127;3,51;0,6;
2021;8;Melilla;46;163;3,54;0,18;
2021;8;Murcia;5741;30112;5,25;0,74;
2021;8;Málaga;31737;164699;5,19;3,54;
2021;8;Navarra;993;4663;4,7;0,32;
2021;8;Ourense;669;3670;5,49;0,27;
2021;8;Palencia;166;1041;6,27;0,15;
2021;8;Pontevedra;5800;31587;5,45;1,19;
2021;8;Salamanca;1182;5383;4,55;0,5;
2021;8;Santa Cruz de Tenerife;18230;75456;4,14;3,58;
2021;8;Segovia;692;4965;7,17;0,56;
2021;8;Sevilla;5486;24066;4,39;0,62;
2021;8;Soria;346;2182;6,31;0,45;
2021;8;Tarragona;11700;69373;5,93;2,22;
2021;8;Teruel;651;3829;5,88;0,58;
2021;8;Toledo;1029;6198;6,02;0,25;
2021;8;Valencia/València;11581;54075;4,67;0,8;
2021;8;Valladolid;458;2178;4,76;0,16;
2021;8;Zamora;399;2159;5,41;0,29;
2021;8;Zaragoza;911;4105;4,51;0,18;
2021;8;Ávila;847;5507;6,5;0,52;
2022;2;A Coruña;4981;26461;5,31;0,77;60,98
2022;2;Albacete;653;3997;6,12;0,3;55,2
2022;2;Alicante/Alacant;31946;170855;5,35;2,51;62,78
2022;2;Almería;4451;21543;4,84;1,13;62,49
2022;2;Araba/Álava;279;1403;5,03;0,18;71,31
2022;2;Asturias;4723;23599;5,0;0,77;64,31
2022;2;Badajoz;338;1740;5,15;0,09;58,42
2022;2;Barcelona;18953;84062;4,44;0,73;63,69
2022;2;Bizkaia;1805;7014;3,89;0,34;62,07
2022;2;Burgos;631;4021;6,37;0,25;77,6
2022;2;Cantabria;4826;24547;5,09;1,35;62,57
2022;2;Castellón/Castelló;4914;26237;5,34;1,17;54,2
2022;2;Ceuta;47;183;3,89;0,18;68,84
2022;2;Ciudad Real;539;3257;6,04;0,19;55,91
2022;2;Cuenca;646;3963;6,13;0,41;67,52
2022;2;Cáceres;944;4439;4,7;0,34;58,6
2022;2;Cádiz;10761;53700;4,99;1,74;59,06
2022;2;Córdoba;1535;8260;5,38;0,39;61,15
2022;2;Gipuzkoa;1911;8358;4,37;0,58;60,35
2022;2;Girona;18033;105898;5,87;3,69;70,51
2022;2;Granada;5497;28350;5,16;1,03;61,79
2022;2;Guadalajara;469;2914;6,21;0,27;66,23
2022;2;Huelva;1769;9792;5,54;0,61;65,16
2022;2;Huesca;2031;11335;5,58;1,3;52,36
2022;2;Illes Balears;26458;164499;6,22;4,51;71,23
2022;2;Jaén;597;2921;4,89;0,17;80,48
2022;2;La Rioja;1050;6045;5,76;0,53;55,01
2022;2;Las Palmas;21095;91737;4,35;3,96;70,56
2022;2;León;986;5235;5,31;0,3;55,43
2022;2;Lleida;2481;15497;6,25;1,01;60,94
2022;2;Lugo;1673;9088;5,43;0,75;59,19
2022;2;Madrid;15241;55170;3,62;0,53;61,54
2022;2;Melilla;45;163;3,62;0,17;70,34
2022;2;Murcia;5554;29113;5,24;0,72;60,68
2022;2;Málaga;30659;158529;5,17;3,42;63,47
2022;2;Navarra;936;4465;4,77;0,3;51,28
2022;2;Ourense;671;3686;5,49;0,27;61,16
2022;2;Palencia;168;1099;6,54;0,15;53,98
2022;2;Pontevedra;5370;29328;5,46;1,1;63,83
2022;2;Salamanca;1145;5436;4,75;0,48;59,31
2022;2;Santa Cruz de Tenerife;17673;73654;4,17;3,47;64,71
2022;2;Segovia;649;4842;7,46;0,52;64,04
2022;2;Sevilla;5544;24448;4,41;0,63;61,41
2022;2;Soria;339;2169;6,4;0,44;128,14
2022;2;Tarragona;10121;60032;5,93;1,92;63,41
2022;2;Teruel;595;3477;5,84;0,53;51,62
2022;2;Toledo;1045;6256;5,99;0,25;62,3
2022;2;Valencia/València;10543;49266;4,67;0,73;60,85
2022;2;Valladolid;449;2170;4,83;0,16;66,26
2022;2;Zamora;393;2157;5,49;0,28;67,75
2022;2;Zaragoza;854;3896;4,56;0,17;65,26
2022;2;Ávila;852;5661;6,64;0,52;61,28
2022;8;A Coruña;6109;32336;5,29;0,94;53,53
2022;8;Albacete;722;4425;6,13;0,33;63,08
