A„O,MES,CCAA,VIVIENDAS_TURISTICAS,PLAZAS,PLAZAS_POR_VIVIENDA_TURISTICA,PORCENTAJE_VIVIENDAS_TURISTICAS,PRECIO
2022,8,Melilla,41,145,3,54,0,16,26,05
2022,8,País Vasco,4693,19034,4,06,0,46,52,87
2022,8,Principado de Asturias,6110,30391,4,97,1,0,67,61
2022,8,Región de Murcia,6133,31927,5,21,0,79,35,42
2022,8,Total Nacional,311518,1585768,4,95,1,24,61,75
2023,2,Andalucía,70194,351011,5,0,1,61,
2023,2,Aragón,3880,20324,5,24,0,51,
2023,2,Canarias,42651,179998,4,22,4,1,
2023,2,Cantabria,5701,28658,5,03,1,59,
2023,2,Castilla - La Mancha,3891,23553,6,05,0,31,
2023,2,Castilla y León,6231,36124,5,8,0,36,
2023,2,Cataluña,45709,253531,5,55,1,19,
2023,2,Ceuta,43,167,3,88,0,16,
2023,2,Comunidad Foral de Navarra,1236,5895,4,77,0,4,
2023,2,Comunidad de Madrid,16351,60396,3,69,0,56,
2023,2,Comunitat Valenciana,49950,257306,5,15,1,59,
2023,2,Extremadura,1520,7328,4,82,0,23,
2023,2,Galicia,14775,78069,5,28,0,92,
2023,2,Illes Balears,25393,156841,6,18,4,33,
2023,2,La Rioja,1105,6156,5,57,0,56,
2023,2,Melilla,55,201,3,65,0,21,
2023,2,País Vasco,4353,18217,4,18,0,43,
2023,2,Principado de Asturias,5810,28957,4,98,0,95,
2023,2,Región de Murcia,6288,32636,5,19,0,81,
2023,2,Total Nacional,305136,1545368,4,96,1,21,
2023,8,Andalucía,79065,395467,5,0,1,69,
2023,8,Aragón,4041,21661,5,36,0,5,
2023,8,Canarias,44376,188355,4,24,4,08,
2023,8,Cantabria,6920,34994,5,06,1,8,
2023,8,Castilla - La Mancha,4120,24811,6,02,0,31,
2023,8,Castilla y León,6612,38551,5,83,0,38,
2023,8,Cataluña,52026,289637,5,57,1,34,
2023,8,Ceuta,47,182,3,87,0,17,
2023,8,Comunidad Foral de Navarra,1340,6601,4,93,0,41,
2023,8,Comunidad de Madrid,16970,64811,3,82,0,57,
2023,8,Comunitat Valenciana,58337,302921,5,19,1,78,
2023,8,Extremadura,1592,7844,4,93,0,22,
2023,8,Galicia,18080,95778,5,3,1,03,
2023,8,Illes Balears,26507,165717,6,25,4,06,
2023,8,La Rioja,1228,6963,5,67,0,6,
2023,8,Melilla,54,218,4,04,0,18,
2023,8,País Vasco,5121,21839,4,26,0,48,
2023,8,Principado de Asturias,7036,35015,4,98,1,04,
2023,8,Región de Murcia,6952,36144,5,2,0,82,
2023,8,Total Nacional,340424,1737509,5,03,1,28,
